NSW,1206,Liberal Democrats,A,1,24801,A,LEYONHJELM,David,1,LDP,Liberal Democrats,1
NSW,1206,Liberal Democrats,A,1,24803,A,PETTETT,Jeffrey Marc,2,LDP,Liberal Democrats,2
NSW,1206,Liberal Democrats,A,1,23432,B,KOUTALIANOS,Bill,1,TCS,No Carbon Tax Climate Sceptics,33
NSW,1206,Liberal Democrats,A,1,23434,B,McDOWALL,Mijina,2,TCS,No Carbon Tax Climate Sceptics,34
NSW,1206,Liberal Democrats,A,1,24075,C,McCAFFREY,Simon,1,DLP,Democratic Labour Party (DLP),29
NSW,1206,Liberal Democrats,A,1,24076,C,HANNA,Daniel John,2,DLP,Democratic Labour Party (DLP),30
NSW,1206,Liberal Democrats,A,1,24651,D,FERGUSON,Tim,1,SOL,Senator Online (Internet Voting Bills/Issues),64
NSW,1206,Liberal Democrats,A,1,24652,D,BARRY,Tony,2,SOL,Senator Online (Internet Voting Bills/Issues),65
NSW,1206,Liberal Democrats,A,1,24654,D,McKINNON,Don,3,SOL,Senator Online (Internet Voting Bills/Issues),66
NSW,1206,Liberal Democrats,A,1,24809,E,HIGSON,Shayne,1,VEP,Voluntary Euthanasia Party,27
NSW,1206,Liberal Democrats,A,1,24810,E,MULHALL,Loredana,2,VEP,Voluntary Euthanasia Party,28
NSW,1206,Liberal Democrats,A,1,24903,F,WHALAN,Andrew,1,,,43
NSW,1206,Liberal Democrats,A,1,24904,F,COOPER,Peter Grant,2,,,44
NSW,1206,Liberal Democrats,A,1,24092,G,FUTTER,BJ,1,HMP,Help End Marijuana Prohibition (HEMP) Party,67
NSW,1206,Liberal Democrats,A,1,24096,G,OLBOURNE,Jason,2,HMP,Help End Marijuana Prohibition (HEMP) Party,68
NSW,1206,Liberal Democrats,A,1,24394,H,CARTER,MaryLou,1,CA,Carers Alliance,47
NSW,1206,Liberal Democrats,A,1,24398,H,BUCKWALTER,Maree,2,CA,Carers Alliance,48
NSW,1206,Liberal Democrats,A,1,24457,I,TRANTER,Kellie,1,WKP,The Wikileaks Party,15
NSW,1206,Liberal Democrats,A,1,24459,I,BROINOWSKI,Alison,2,WKP,The Wikileaks Party,16
NSW,1206,Liberal Democrats,A,1,24100,J,BISHOP,Norm,1,RUA,Rise Up Australia Party,62
NSW,1206,Liberal Democrats,A,1,24103,J,SOMERFIELD,Wayne,2,RUA,Rise Up Australia Party,63
NSW,1206,Liberal Democrats,A,1,23225,K,JANSSON,James,1,FUT,Future Party,49
NSW,1206,Liberal Democrats,A,1,23226,K,HAGGERTY,James,2,FUT,Future Party,50
NSW,1206,Liberal Democrats,A,1,24354,L,PEEBLES,Robyn,1,CDP,Christian Democratic Party (Fred Nile Group),86
NSW,1206,Liberal Democrats,A,1,24366,L,LIONS,Deborah,2,CDP,Christian Democratic Party (Fred Nile Group),87
NSW,1206,Liberal Democrats,A,1,24372,L,RAHME,Peter,3,CDP,Christian Democratic Party (Fred Nile Group),88
NSW,1206,Liberal Democrats,A,1,24379,L,FRASER,Caroline Margaret,4,CDP,Christian Democratic Party (Fred Nile Group),89
NSW,1206,Liberal Democrats,A,1,24386,L,CLIFFORD,Ross,5,CDP,Christian Democratic Party (Fred Nile Group),90
NSW,1206,Liberal Democrats,A,1,24052,M,CARR,Bob,1,ALP,Labor,91
NSW,1206,Liberal Democrats,A,1,24053,M,CAMERON,Doug,2,ALP,Labor,92
NSW,1206,Liberal Democrats,A,1,24054,M,STEPHENS,Ursula,3,ALP,Labor,93
NSW,1206,Liberal Democrats,A,1,24055,M,KOLOMEITZ,Glenn,4,ALP,Labor,94
NSW,1206,Liberal Democrats,A,1,24061,M,NELMES,Nuatali,5,ALP,Labor,95
NSW,1206,Liberal Democrats,A,1,24064,M,CHHIBBER,Bhupinder Kumar,6,ALP,Labor,96
NSW,1206,Liberal Democrats,A,1,24344,N,MAILLER,Peter James,1,KAP,Katter's Australian Party,23
